Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP0000073,Male,Yes,0,Not Graduate,nan,5927,8031,315.0,360.0,1.0,Rural
LP0000074,Male,No,2,Not Graduate,Yes,23452,1025,342.0,360.0,1.0,Semiurban
LP0000075,nan,No,0,Not Graduate,No,18659,8142,382.0,180.0,1.0,Semiurban
LP0000076,Male,Yes,0,Graduate,No,13207,9711,138.0,360.0,1.0,Semiurban
LP0000077,Male,Yes,1,Not Graduate,Yes,18325,3297,338.0,360.0,1.0,Semiurban
LP0000078,Male,Yes,0,Not Graduate,No,4548,7406,366.0,480.0,1.0,Semiurban
LP0000079,Male,No,0,Graduate,nan,1910,8365,286.0,360.0,1.0,Rural
LP0000080,nan,Yes,0,Not Graduate,nan,9800,5492,518.0,360.0,1.0,Semiurban
LP0000081,Male,No,2,Graduate,No,9169,4694,537.0,360.0,1.0,Semiurban
LP0000082,Male,Yes,3+,Graduate,No,21057,9737,258.0,360.0,0.0,Semiurban
LP0000083,Male,Yes,2,Not Graduate,No,16256,7269,405.0,360.0,0.0,Rural
LP0000084,Male,No,0,Graduate,No,7368,2564,200.0,360.0,1.0,Urban
LP0000085,Male,Yes,0,Not Graduate,nan,20820,8793,537.0,,1.0,Rural
LP0000086,Male,Yes,0,Graduate,No,24666,1103,112.0,360.0,1.0,Semiurban
LP0000087,Male,Yes,2,Graduate,No,9578,1656,491.0,360.0,1.0,Rural
LP0000088,Male,Yes,1,Graduate,No,22713,406,372.0,360.0,0.0,Urban
LP0000089,Male,Yes,3+,Graduate,nan,23710,9104,545.0,360.0,1.0,Semiurban
LP0000090,Male,Yes,0,Graduate,No,12151,3355,158.0,360.0,,Urban
LP0000091,Male,No,2,Graduate,No,3226,2867,53.0,360.0,1.0,Urban
LP0000092,Male,No,1,Graduate,No,21049,8761,176.0,360.0,1.0,Semiurban
LP0000093,Male,No,0,Graduate,No,1983,6637,330.0,360.0,1.0,Semiurban
LP0000094,Female,Yes,1,Not Graduate,No,24798,8782,517.0,360.0,1.0,Urban
LP0000095,Female,Yes,3+,Graduate,No,8463,2816,461.0,180.0,1.0,Semiurban
LP0000096,Male,Yes,3+,Graduate,No,22023,2704,224.0,360.0,1.0,Rural
LP0000097,Male,Yes,2,Graduate,No,19223,4558,161.0,360.0,1.0,Semiurban
LP0000098,Male,Yes,0,Graduate,No,24085,6445,217.0,120.0,1.0,Urban
LP0000099,Male,No,3+,Not Graduate,Yes,2106,3589,179.0,360.0,1.0,Urban
LP0000100,Male,Yes,1,Graduate,nan,6761,2454,507.0,360.0,1.0,Rural
LP0000101,nan,No,0,Graduate,No,12129,1629,394.0,360.0,1.0,Urban
LP0000102,Male,Yes,0,Graduate,No,8430,2167,232.0,360.0,1.0,Rural
LP0000103,nan,Yes,0,Graduate,No,13522,7676,57.0,360.0,0.0,Urban
LP0000104,Male,Yes,0,Graduate,Yes,10126,2748,261.0,360.0,1.0,Semiurban
LP0000105,Male,Yes,2,Graduate,No,22102,1216,432.0,360.0,,Semiurban
LP0000106,Male,Yes,0,Graduate,No,20945,3096,289.0,240.0,1.0,Semiurban
LP0000107,Male,No,0,Graduate,No,3317,9743,349.0,360.0,1.0,Rural
LP0000108,Male,No,0,Graduate,No,6221,921,473.0,360.0,0.0,Rural
LP0000109,Male,No,0,Not Graduate,No,18835,516,541.0,360.0,,Urban
LP0000110,Male,Yes,0,Not Graduate,nan,4306,3951,60.0,360.0,1.0,Rural
LP0000111,Male,No,0,Graduate,No,10567,2829,318.0,360.0,1.0,Rural
LP0000112,Male,No,0,Graduate,No,15853,2504,204.0,360.0,1.0,Urban
LP0000113,Male,Yes,1,Graduate,No,6280,1485,384.0,360.0,1.0,Urban
LP0000114,Male,No,0,Graduate,No,4794,6782,84.0,360.0,1.0,Semiurban
LP0000115,Male,Yes,1,Graduate,No,8365,989,524.0,360.0,1.0,Urban
LP0000116,Male,Yes,0,Not Graduate,No,16079,5376,273.0,360.0,0.0,Semiurban
LP0000117,Male,Yes,0,Not Graduate,No,13109,8337,180.0,360.0,1.0,Urban
LP0000118,Male,Yes,0,Not Graduate,No,20829,3658,393.0,,,Semiurban
LP0000119,Male,Yes,0,Graduate,No,5717,3082,185.0,360.0,,Rural
LP0000120,Male,Yes,0,Not Graduate,No,9032,2651,293.0,360.0,1.0,Rural
LP0000121,Male,No,0,Graduate,No,8993,6923,216.0,360.0,1.0,Semiurban
LP0000122,Male,No,0,Graduate,Yes,4387,2209,429.0,360.0,1.0,Urban
LP0000123,Female,No,2,Graduate,No,10824,7157,96.0,360.0,1.0,Rural
LP0000124,Male,Yes,0,Graduate,No,20767,2809,84.0,360.0,1.0,Urban
LP0000125,Male,Yes,3+,Not Graduate,No,22522,2804,58.0,180.0,1.0,Semiurban
LP0000126,Female,Yes,2,Graduate,No,19029,1277,491.0,360.0,0.0,Urban
LP0000127,Male,No,2,Graduate,No,3618,8806,246.0,360.0,0.0,Rural
LP0000128,Female,Yes,0,Graduate,No,19082,9095,357.0,360.0,,Semiurban
LP0000129,Male,Yes,2,Not Graduate,nan,13238,5337,92.0,360.0,1.0,Semiurban
LP0000130,Male,No,0,Not Graduate,No,3244,9193,482.0,360.0,1.0,Urban
LP0000131,nan,Yes,0,Graduate,No,11451,4488,401.0,360.0,1.0,Rural
LP0000132,Male,Yes,0,Graduate,Yes,20974,2130,524.0,360.0,1.0,Rural
LP0000133,Male,No,3+,Not Graduate,No,12856,3425,56.0,360.0,1.0,Semiurban
LP0000134,Male,Yes,0,Graduate,No,13172,2175,222.0,360.0,1.0,Rural
LP0000135,Male,Yes,3+,Not Graduate,Yes,18875,9967,460.0,360.0,,Urban
LP0000136,Male,Yes,0,Not Graduate,No,2086,7511,399.0,360.0,1.0,Rural
LP0000137,Male,Yes,3+,Graduate,No,4986,4201,526.0,360.0,1.0,Rural
LP0000138,Male,Yes,3+,Graduate,No,6274,9963,221.0,360.0,1.0,Semiurban
LP0000139,Male,No,3+,Graduate,No,17596,9337,232.0,360.0,0.0,Semiurban
LP0000140,Male,Yes,0,Not Graduate,No,5383,7243,135.0,360.0,1.0,Rural
LP0000141,Male,No,3+,Graduate,No,5686,8961,255.0,360.0,1.0,Urban
LP0000142,Male,Yes,3+,Not Graduate,No,9556,6708,548.0,360.0,1.0,Urban
LP0000143,Female,Yes,0,Not Graduate,No,17223,4351,444.0,360.0,1.0,Rural
LP0000144,Male,No,0,Graduate,No,4693,9073,370.0,120.0,1.0,Semiurban
LP0000145,Male,No,2,Graduate,No,12098,2406,380.0,180.0,1.0,Rural
LP0000146,Male,Yes,0,Graduate,No,7484,3358,384.0,360.0,1.0,Rural
LP0000147,Female,No,2,Not Graduate,No,21761,2084,451.0,,1.0,Rural
LP0000148,Male,Yes,0,Not Graduate,No,5541,4791,520.0,360.0,1.0,Urban
LP0000149,Female,Yes,0,Not Graduate,No,4252,6823,262.0,360.0,1.0,Semiurban
LP0000150,Male,No,0,Graduate,Yes,21069,9867,488.0,360.0,1.0,Semiurban
LP0000151,Female,Yes,0,Graduate,Yes,18302,4662,272.0,360.0,1.0,Urban
LP0000152,Male,Yes,0,Graduate,No,22502,9952,534.0,360.0,1.0,Rural
LP0000153,Male,Yes,2,Graduate,No,20118,366,274.0,360.0,0.0,Semiurban
LP0000154,Male,Yes,0,Graduate,No,14889,4120,485.0,360.0,1.0,Urban
LP0000155,Female,Yes,2,Not Graduate,Yes,9249,5265,210.0,360.0,1.0,Urban
LP0000156,Male,Yes,2,Graduate,No,18694,669,79.0,360.0,1.0,Semiurban
LP0000157,Male,Yes,0,Not Graduate,Yes,9154,2833,61.0,360.0,1.0,Semiurban
LP0000158,Male,Yes,0,Graduate,nan,20788,1670,204.0,360.0,0.0,Semiurban
LP0000159,Female,Yes,0,Graduate,No,4274,9806,488.0,360.0,1.0,Urban
LP0000160,Female,Yes,0,Graduate,Yes,19537,5405,374.0,360.0,0.0,Rural
LP0000161,Male,Yes,0,Graduate,No,21984,5508,32.0,360.0,,Urban
LP0000162,Male,No,0,Not Graduate,No,7285,4292,258.0,360.0,1.0,Rural
LP0000163,Male,No,3+,Graduate,No,17581,2464,457.0,360.0,1.0,Rural
LP0000164,Male,No,0,Graduate,No,8443,8197,,360.0,1.0,Rural
LP0000165,Female,Yes,1,Not Graduate,nan,5898,3375,52.0,360.0,1.0,Urban
LP0000166,Male,Yes,3+,Not Graduate,nan,3475,4483,372.0,360.0,1.0,Urban
LP0000167,Male,Yes,3+,Graduate,No,15925,7820,154.0,360.0,1.0,Urban
LP0000168,Male,No,3+,Graduate,No,12301,793,114.0,360.0,1.0,Urban
LP0000169,Male,Yes,2,Graduate,No,24382,3295,502.0,120.0,,Rural
LP0000170,Male,No,0,Graduate,nan,13989,6769,53.0,360.0,1.0,Semiurban
LP0000171,Male,No,3+,Graduate,No,22933,3556,74.0,360.0,1.0,Rural
LP0000172,Male,Yes,3+,Not Graduate,No,11383,2297,78.0,360.0,1.0,Urban
LP0000173,Male,Yes,0,Graduate,No,6714,6080,485.0,360.0,1.0,Rural
LP0000174,Male,Yes,0,Graduate,No,9258,984,380.0,360.0,1.0,Rural
LP0000175,Male,Yes,0,Graduate,No,22674,2740,154.0,360.0,0.0,Semiurban
LP0000176,Male,Yes,0,Not Graduate,No,18709,2112,335.0,360.0,1.0,Urban
LP0000177,Male,No,0,Graduate,No,22992,3714,343.0,360.0,1.0,Semiurban
LP0000178,Male,Yes,1,Graduate,No,13784,8038,531.0,360.0,1.0,Semiurban
LP0000179,Male,Yes,1,Graduate,No,18313,9620,393.0,360.0,1.0,Rural
LP0000180,Male,Yes,0,Graduate,No,5413,8984,84.0,120.0,1.0,Rural
LP0000181,Male,No,0,Graduate,No,23688,5972,444.0,360.0,1.0,Semiurban
LP0000182,Male,No,2,Graduate,No,5221,5486,31.0,360.0,1.0,Urban
LP0000183,Male,No,0,Graduate,No,2881,962,210.0,360.0,1.0,Urban
LP0000184,Male,No,0,Graduate,Yes,15627,9703,129.0,360.0,,Rural
LP0000185,Male,Yes,1,Graduate,Yes,3255,8924,377.0,360.0,0.0,Semiurban
LP0000186,Male,Yes,0,Not Graduate,No,12441,5182,443.0,360.0,1.0,Semiurban
LP0000187,Female,Yes,0,Graduate,No,15949,7762,416.0,,1.0,Rural
LP0000188,Female,Yes,0,Not Graduate,No,5171,7961,126.0,360.0,1.0,Semiurban
LP0000189,Male,No,2,Graduate,No,22484,5990,489.0,360.0,,Rural
LP0000190,Male,Yes,1,Not Graduate,No,17185,9666,143.0,360.0,1.0,Urban
LP0000191,Male,Yes,0,Graduate,No,15108,504,45.0,180.0,0.0,Rural
LP0000192,Male,Yes,0,Graduate,No,23371,8797,471.0,360.0,1.0,Rural
LP0000193,Male,Yes,1,Graduate,No,4411,5692,135.0,360.0,1.0,Urban
LP0000194,Female,No,3+,Graduate,No,7393,1691,145.0,360.0,,Urban
LP0000195,Male,Yes,1,Not Graduate,No,2918,8481,242.0,360.0,1.0,Semiurban
LP0000196,Female,No,2,Not Graduate,Yes,5982,9871,454.0,360.0,1.0,Urban
LP0000197,Male,Yes,0,Graduate,Yes,6563,4328,480.0,360.0,1.0,Urban
LP0000198,Male,Yes,2,Graduate,No,19836,3542,120.0,360.0,1.0,Semiurban
LP0000199,Male,No,3+,Graduate,No,3530,9624,323.0,180.0,1.0,Semiurban
LP0000200,Male,No,2,Graduate,No,18862,6372,232.0,240.0,0.0,Rural
LP0000201,Male,Yes,3+,Not Graduate,Yes,18645,3986,252.0,360.0,1.0,Semiurban
LP0000202,Male,Yes,0,Graduate,No,24037,8188,330.0,360.0,1.0,Urban
LP0000203,Male,Yes,3+,Not Graduate,Yes,7406,7754,325.0,360.0,1.0,Semiurban
LP0000204,Male,Yes,1,Graduate,No,17124,2369,253.0,360.0,1.0,Rural
LP0000205,Male,No,3+,Graduate,No,18018,8037,136.0,360.0,1.0,Urban
LP0000206,Male,Yes,0,Graduate,No,4120,6837,199.0,360.0,1.0,Urban
LP0000207,Female,No,1,Graduate,No,4073,3039,308.0,360.0,0.0,Urban
LP0000208,Male,No,2,Not Graduate,No,20189,4683,52.0,360.0,1.0,Semiurban
LP0000209,Male,Yes,0,Not Graduate,No,15217,2789,255.0,480.0,0.0,Rural
LP0000210,Male,Yes,1,Graduate,No,8087,2383,432.0,360.0,0.0,Rural
LP0000211,nan,Yes,2,Not Graduate,No,20232,8370,120.0,360.0,1.0,Semiurban
LP0000212,Male,Yes,0,Graduate,Yes,23029,3735,456.0,360.0,1.0,Rural
LP0000213,Male,Yes,0,Not Graduate,No,23446,9064,161.0,120.0,1.0,Rural
LP0000214,Male,Yes,1,Graduate,No,22994,2515,60.0,360.0,,Semiurban
LP0000215,Female,No,0,Graduate,No,16898,9712,90.0,360.0,1.0,Rural
LP0000216,Female,Yes,0,Graduate,No,22607,2466,479.0,240.0,0.0,Rural
LP0000217,Male,No,0,Graduate,No,7844,8366,294.0,360.0,1.0,Semiurban
LP0000218,Male,Yes,0,Graduate,No,12944,3369,286.0,360.0,1.0,Rural
LP0000219,Male,No,0,Graduate,No,18264,50,513.0,360.0,1.0,Rural
LP0000220,Male,No,0,Graduate,No,11508,9892,538.0,360.0,1.0,Semiurban
LP0000221,Male,Yes,2,Graduate,nan,23930,9175,316.0,360.0,1.0,Semiurban
LP0000222,Male,No,1,Graduate,No,14985,4731,287.0,360.0,0.0,Semiurban
LP0000223,Female,Yes,2,Graduate,No,13082,158,541.0,360.0,1.0,Rural
LP0000224,Male,No,0,Not Graduate,No,19022,7309,546.0,,,Semiurban
LP0000225,Male,No,0,Graduate,No,24330,116,290.0,360.0,1.0,Urban
LP0000226,Male,Yes,0,Graduate,No,18025,9683,522.0,360.0,1.0,Rural
LP0000227,Male,Yes,2,Graduate,Yes,6123,984,378.0,360.0,1.0,Rural
LP0000228,Female,Yes,2,Graduate,No,6767,3237,210.0,360.0,1.0,Rural
LP0000229,Male,Yes,3+,Graduate,No,19408,8977,425.0,120.0,1.0,Rural
LP0000230,Male,nan,0,Graduate,No,15198,7718,486.0,360.0,1.0,Rural
LP0000231,Male,No,2,Graduate,No,23777,9810,122.0,360.0,1.0,Rural
LP0000232,Male,Yes,1,Graduate,Yes,7903,1527,381.0,360.0,1.0,Urban
LP0000233,Female,No,2,Graduate,No,14748,5442,58.0,360.0,1.0,Rural
LP0000234,Male,No,0,Not Graduate,No,3555,1832,228.0,360.0,0.0,Urban
LP0000235,Female,Yes,1,Not Graduate,No,4875,8112,309.0,360.0,1.0,Rural
LP0000236,Male,Yes,0,Graduate,No,16090,1145,499.0,360.0,1.0,Rural
LP0000237,Male,Yes,1,Graduate,No,4874,1253,105.0,360.0,1.0,Semiurban
LP0000238,Male,No,0,Not Graduate,No,13562,2188,102.0,360.0,1.0,Rural
LP0000239,Female,No,0,Not Graduate,No,7739,9597,536.0,360.0,1.0,Semiurban
LP0000240,Male,Yes,0,Not Graduate,Yes,13909,1186,375.0,360.0,1.0,Rural
LP0000241,Male,Yes,3+,Graduate,No,22205,9640,75.0,360.0,1.0,Urban
LP0000242,Male,No,0,Graduate,No,13816,9194,54.0,360.0,1.0,Urban
LP0000243,Male,No,3+,Graduate,No,8838,2611,116.0,120.0,1.0,Semiurban
LP0000244,Male,No,3+,Not Graduate,No,17917,7655,332.0,360.0,1.0,Semiurban
LP0000245,Male,Yes,3+,Not Graduate,No,23308,9678,448.0,360.0,1.0,Urban
LP0000246,Female,Yes,3+,Graduate,No,17047,2951,113.0,360.0,1.0,Urban
LP0000247,Male,Yes,3+,Graduate,No,3044,8172,480.0,360.0,1.0,Rural
LP0000248,Female,Yes,0,Graduate,No,11872,2111,96.0,360.0,1.0,Urban
LP0000249,nan,No,0,Not Graduate,No,18411,7713,167.0,360.0,0.0,Rural
LP0000250,Male,Yes,1,Graduate,No,4758,5538,112.0,180.0,1.0,Urban
LP0000251,Male,No,0,Graduate,No,7827,6959,304.0,360.0,1.0,Semiurban
LP0000252,Male,Yes,0,Graduate,No,21039,8905,272.0,120.0,1.0,Semiurban
LP0000253,Male,No,1,Graduate,No,18779,2240,454.0,,1.0,Urban
LP0000254,Male,Yes,1,Graduate,No,7013,6596,205.0,360.0,1.0,Urban
LP0000255,Female,Yes,3+,Not Graduate,No,6580,1474,292.0,360.0,1.0,Semiurban
LP0000256,Male,Yes,1,Graduate,No,3026,1023,458.0,360.0,1.0,Semiurban
LP0000257,Male,Yes,1,Graduate,nan,2103,5105,296.0,360.0,1.0,Rural
LP0000258,Male,No,0,Graduate,Yes,10494,397,112.0,360.0,1.0,Semiurban
LP0000259,Female,Yes,0,Graduate,nan,2585,6317,137.0,360.0,0.0,Urban
LP0000260,Male,Yes,3+,Graduate,Yes,19964,4013,212.0,360.0,,Semiurban
LP0000261,Male,No,0,Graduate,No,18026,3328,351.0,360.0,0.0,Rural
LP0000262,Male,No,0,Not Graduate,No,11077,1873,469.0,,1.0,Urban
LP0000263,Male,Yes,1,Not Graduate,No,13910,4633,175.0,360.0,1.0,Rural
LP0000264,Female,No,0,Graduate,No,11213,5749,185.0,480.0,0.0,Semiurban
LP0000265,Female,Yes,0,Graduate,No,6734,7959,267.0,360.0,1.0,Semiurban
LP0000266,Male,Yes,0,Graduate,No,19792,4396,106.0,360.0,1.0,Semiurban
LP0000267,Male,Yes,0,Not Graduate,Yes,23360,8819,449.0,360.0,1.0,Urban
LP0000268,Male,Yes,0,Not Graduate,No,21459,2798,,360.0,1.0,Rural
LP0000269,Male,Yes,3+,Graduate,No,24619,6867,289.0,360.0,1.0,Semiurban
LP0000270,Male,Yes,0,Graduate,nan,2253,9858,286.0,360.0,1.0,Semiurban
LP0000271,Male,Yes,0,Graduate,No,16200,946,60.0,240.0,1.0,Semiurban
LP0000272,Male,No,0,Graduate,No,5859,622,535.0,360.0,1.0,Urban
LP0000273,nan,Yes,0,Graduate,No,19144,2161,436.0,360.0,1.0,Semiurban
LP0000274,Male,nan,3+,Graduate,No,3033,1760,541.0,,1.0,Urban
LP0000275,Female,No,0,Graduate,nan,3094,6289,170.0,360.0,1.0,Rural
LP0000276,Male,Yes,nan,Graduate,No,5420,2980,31.0,480.0,1.0,Semiurban
LP0000277,Male,Yes,0,Not Graduate,No,4746,1214,428.0,360.0,1.0,Semiurban
LP0000278,Female,Yes,2,Graduate,No,19479,619,458.0,360.0,1.0,Rural
LP0000279,Male,No,0,Not Graduate,No,4740,3602,156.0,360.0,0.0,Semiurban
LP0000280,Male,Yes,0,Graduate,No,8719,7318,39.0,360.0,,Rural
LP0000281,Male,Yes,0,Graduate,No,4799,5814,205.0,360.0,1.0,Rural
LP0000282,Male,No,1,Graduate,No,3879,4887,477.0,360.0,,Rural
LP0000283,Female,Yes,0,Graduate,No,4435,4249,105.0,120.0,,Semiurban
LP0000284,Female,Yes,0,Graduate,No,21393,6111,442.0,360.0,1.0,Semiurban
LP0000285,Male,Yes,2,Graduate,No,9000,2613,356.0,360.0,1.0,Urban
LP0000286,Male,No,0,Graduate,nan,1598,9826,122.0,360.0,1.0,Semiurban
LP0000287,Male,No,0,Not Graduate,No,16928,7768,151.0,240.0,1.0,Semiurban
LP0000288,Male,Yes,2,Graduate,No,8658,4768,142.0,360.0,0.0,Urban
LP0000289,Male,Yes,0,Graduate,No,6886,4055,452.0,120.0,1.0,Urban
LP0000290,Male,No,2,Not Graduate,No,24035,8048,470.0,360.0,1.0,Rural
LP0000291,Male,No,0,Graduate,No,19481,100,40.0,180.0,1.0,Urban
LP0000292,Male,No,0,Graduate,No,16999,5860,213.0,360.0,1.0,Semiurban
LP0000293,Male,Yes,0,Graduate,No,7020,7376,330.0,180.0,1.0,Semiurban
LP0000294,Male,No,3+,Graduate,No,17270,3629,401.0,360.0,1.0,Semiurban
LP0000295,Male,Yes,3+,Graduate,No,20776,765,319.0,360.0,1.0,Semiurban
LP0000296,nan,Yes,nan,Graduate,No,21951,7049,384.0,360.0,1.0,Urban
LP0000297,Female,No,0,Graduate,No,23912,3404,272.0,360.0,1.0,Urban
LP0000298,Male,Yes,2,Not Graduate,No,4681,3566,479.0,360.0,1.0,Urban
LP0000299,Male,No,0,Graduate,No,10547,4665,58.0,180.0,1.0,Rural
LP0000300,Female,Yes,0,Graduate,No,20345,6725,399.0,180.0,1.0,Semiurban
LP0000301,Female,No,2,Graduate,No,22888,5439,154.0,360.0,1.0,Rural
LP0000302,Female,Yes,0,Graduate,nan,20963,3279,527.0,360.0,1.0,Rural
LP0000303,Male,No,0,Graduate,No,21531,8924,245.0,360.0,1.0,Semiurban
LP0000304,nan,Yes,0,Graduate,No,7439,1406,99.0,360.0,1.0,Semiurban
LP0000305,Male,Yes,2,Graduate,No,5473,7739,510.0,360.0,1.0,Semiurban
LP0000306,Male,No,0,Not Graduate,No,6946,3926,31.0,360.0,1.0,Semiurban
LP0000307,Female,Yes,0,Graduate,No,3473,778,43.0,360.0,1.0,Urban
LP0000308,Male,Yes,nan,Graduate,No,5873,1372,43.0,360.0,1.0,Semiurban
LP0000309,Female,Yes,0,Not Graduate,No,21146,8510,89.0,360.0,1.0,Semiurban
LP0000310,Male,No,0,Not Graduate,No,13866,9087,374.0,360.0,1.0,Rural
